year,GDP (current LCU),Import volume index (2015 = 100),"Foreign direct investment, net inflows (BoP, current US$)","Exports of goods and services (BoP, current US$)","Net financial account (BoP, current US$)",Real effective exchange rate index (2010 = 100),Tax revenue (current LCU),Current account balance (% of GDP),Total reserves in months of imports,External debt stock,Debt_service
1990,113340000,21.15863865,202700000,1360300000,-274800000,53.31819983,22081900,-18.09317099,1.033586506,4543084918,200652406.8
1991,218275800,11.04791611,34300000,1255100000,-197200000,49.23203116,38184800,-9.052931584,1.274786718,4698679002,593206468.1
1992,569564000,9.32055859,45000000,1140146154,-533951648.4,47.00247895,106570700,-12.89177642,1.51598693,4520348879,349494570.5
1993,1482122100,10.08145905,314399999.9,1139112308,-546800439.6,53.37837944,222913700,-13.12061357,1.757187142,4404415795,361635926
1994,2447760000,8.985214783,40000000,1138078462,-559649230.8,51.25351666,421908600,-13.34945072,1.998387354,5193916916,374529250.4
1995,3289686700,11.80302975,107000000,1137044615,-572498022,49.20096751,516135400,-13.57828787,2.239587566,5304217818,2612571456
1996,4345083200,14.96719379,127100000,1136010769,-585346813.2,53.7101336,699802500,-13.80712502,2.480787778,5385128780,250709066.2
1997,5656664100,14.09945729,207400000,1222300000,-407400000,62.19944587,907900000,-4.229322102,1.75668986,5263929348,245827662.3
1998,6587519600,21.56016694,198000000,916800000,-404700000,58.13719082,1066400000,-16.12328034,0.552444534,5354765136,202081414.5
1999,8129497000,16.11380346,162000000,878600000,-419700000,58.22363681,1378300000,-11.3504022,0.402803982,4578198571,152072921.5
2000,11201004800,17.57813209,121700000,871970000,-144650000,59.7703672,1369186727,-18.39806498,1.874351453,4508221851,189354235
2001,14784761400,21.93582231,145000000,1054825000,-708050000,68.35849848,2445503688,-18.0007856,1.206717553,4980702975,186937283.3
2002,18447049600,22.19520096,298390000,1104469000,-251340000,69.98324382,2848226832,-15.81421084,3.405970508,5475111478,226718931.4
2003,23201878000,29.75883213,347000000,1251517000,-517680000,61.94408301,3447687674,-13.52996684,1.491194231,5824943115,558856457.6
2004,29729908100,36.58085202,364040000,2076306000,-52210000,65.13316166,4553747455,-7.148788886,1.566939891,6406989796,468709090.9
2005,37189302500,39.99874932,356940000,2827695062,2217361960,80.41509766,5502071248,-2.784984149,2.111944356,4446966406,283934369.8
2006,45964238300,44.56877126,615790000,4547091169,3014405031,105.6232365,6302400000,4.644745062,1.99159276,1688179140,144820474.9
2007,56262974300,53.92420567,1323900000,5227148092,-16964421.1,97.61939638,7923241560,-1.238020399,2.191995421,1986054518,124749303.5
2008,67088703200,59.21808292,938620000,5631664314,-380219011.6,112.588815,8895494961,-3.330579053,1.928369066,2105959416,167178872.8
2009,77348348100,50.64517882,694800000,4900459151,1141491362,95.61684741,9040100425,5.953428185,5.035091858,2119947648,170407260.6
2010,97215915400,63.59531612,1729300000,8054341321,1647601065,100,12477509534,7.525491477,3.605054864,1985803869,149816243
2011,1.14E+11,75.14455391,1108500000,9419019755,1213063432,97.15544209,16780541000,4.658236558,3.199896976,3303255243,220136301.3
2012,1.31E+11,93.25810971,1731500000,10510886466,1562472375,99.71197728,19549490000,5.378984862,3.801573789,3773460935,230469125.5
2013,1.51E+11,109.5963124,2099800000,11601393753,86991076.41,103.0274342,21711624000,-0.575955751,2.646286063,4432275873,318810731.6
2014,1.67E+11,106.0982148,1507800000,11071017828,-353913271.8,98.43089766,26329274000,-1.42709396,3.140736613,7361621195,398483394.6
2015,1.83E+11,100,1582666667,8223465324,-671524126.3,86.7439085,26395795000,-3.612272079,3.859928653,10131988055,545463487
2016,2.16E+11,96.98314215,662813935.4,7419922061,-969672109.6,85.66549926,28855958000,-4.551688275,3.261648789,13646071275,741748917.2
2017,2.46E+11,98.11463313,1107519805,9080489945,-345855863.9,94.22172868,37393013963,-1.681270576,2.51169346,21259900653,839202674.6
2018,2.75E+11,108.0740299,408438491.7,9982606351,-251342032.4,88.53067177,45643375276,-1.301166817,1.771739306,22188935169,1282884018
2019,3.00E+11,83.91223065,547967909.6,8257880171,135753128.1,79.79990364,50107705101,0.603690809,2.048786377,25752379092,2604670780
2020,3.32E+11,61.47675368,245205491.4,8558478219,2001802528,66.45366967,54626126943,5.310805069,1.838624354,25334743314,1909656262
2021,4.43E+11,69.64827976,-271436093,11727521533,3567410021,69.7891348,74225937509,11.87282309,3.511081263,20810987699,1616360720
2022,5.04E+11,104.4071741,10809409.17,12437446094,1281997663,90.90389466,74225937509,3.596552292,3.049422695,20810987699,1616360720
