Lender,Lender's Classification,Debt Stock***,Interest Arrears,Total Debt Stock
AFD Bilateral,Bilateral,"104,851,973","1,627,333","106,479,306"
AFRICA G. T. FUND Multilateral,Multilateral,"40,008,775",0,"40,008,775"
AFRICAN DEV BANK Multilateral,Multilateral,"334,572,355",0,"334,572,355"
AFRICAN DEV FUND Multilateral,Multilateral,"513,933,658",0,"513,933,658"
BADEA Multilateral,Multilateral,"33,734,441",0,"33,734,441"
BANK HAPOALIM BM Commercial non-bondholders,Commercial,"46,363,664","3,342,057","49,705,721"
BANK OF CHINA (ZM) Commercial non-bondholders,Commercial,"65,486,895","3,767,494","69,254,390"
CATIC Commercial non-bondholders,Commercial,"89,571,398","10,398,053","99,969,451"
CHINA DEV BANK Commercial non-bondholders,Commercial,"469,420,450","60,112,334","529,532,784"
CHINA MINSHENG BANK Commercial non-bondholders,Commercial,"38,069,199","1,660,377","39,729,576"
CREDIT SUISSE Commercial non-bondholders,Commercial,"34,812,502","1,691,280","36,503,782"
DBSA Bilateral,Bilateral,"157,113,636","26,292,315","183,405,950"
E I B Multilateral,Multilateral,"194,105,662",0,"194,105,662"
ESA TRADE DEV. BANK Commercial non-bondholders,Commercial,"493,289,549","61,537,563","554,827,112"
EURO BOND Eurobonds,Commercial,"3,000,000,000","615,937,500","3,615,937,500"
EXIM AFRICA Commercial non-bondholders,Commercial,"44,854,512","989,296","45,843,807"
EXIM BANK INDIA Bilateral,Bilateral,"308,598,629","14,892,875","323,491,503"
EXIM CHINA Bilateral,Bilateral,"2,786,019,493","258,445,469","3,044,464,963"
EXIM RUSSIA Bilateral,Bilateral,"131,353,473","8,579,560","139,933,032"
EXIM US Bilateral,Bilateral,"45,364,059","2,789,232","48,153,291"
GOVT OF BELGIUM Bilateral,Bilateral,"768,491",0,"768,491"
GOVT OF CHINA Bilateral,Bilateral,"20,720,569",0,"20,720,569"
GOVT OF IRAQ Bilateral,Bilateral,"37,088,014",0,"37,088,014"
GOVT OF JAPAN Bilateral,Bilateral,"38,197,087","5,540","38,202,627"
IDA Multilateral,Multilateral,"2,179,619,757",0,"2,179,619,757"
IFAD Multilateral,Multilateral,"133,828,097",0,"133,828,097"
IMF Multilateral,Multilateral,"186,050,718",0,"186,050,718"
INDU COM BANK CHIN Commercial non-bondholders,Commercial,"460,937,309","58,917,190","519,854,499"
INTESA SANPAOLO BANK Commercial non-bondholders,Commercial,"86,628,411","4,107,187","90,735,598"
INVESTEC UK Commercial non-bondholders,Commercial,"350,796,154","23,931,306","374,727,460"
ISRAEL DISCOUNT BANK Commercial non-bondholders,Commercial,"361,897,526","27,408,757","389,306,283"
JIANGXI BANK Commercial non-bondholders,Commercial,"30,000,000","3,401,823","33,401,823"
KFAED Bilateral,Bilateral,"8,360,344","9,291","8,369,635"
MIKALILE TRADING CO. Commercial non-bondholders,Commercial,"294,077,692","34,674,737","328,752,429"
NDF Multilateral,Multilateral,"20,138,561",0,"20,138,561"
NEDBANK Commercial non-bondholders,Commercial,"32,928,908","4,021,371","36,950,279"
NIGERIAN TRUST FUND Multilateral,Multilateral,"7,239,829",0,"7,239,829"
NORDEA Commercial non-bondholders,Commercial,"49,079,592",0,"49,079,592"
OFID Multilateral,Multilateral,"29,059,489","191,172","29,250,661"
PARAMOUNT LTD Commercial non-bondholders,Commercial,"3,822,896",0,"3,822,896"
POLYTECH Commercial non-bondholders,Commercial,"185,504,775","24,988,904","210,493,679"
SAUDI FUNDS FOR DEV Bilateral,Bilateral,"56,699,640","1,344,529","58,044,170"
STARTIMES Commercial non-bondholders,Commercial,"39,508,852","4,987,993","44,496,845"
STD CHARTD BANK - UK Commercial non-bondholders,Commercial,"268,336,485","30,275,942","298,612,428"
STRATEGIC CLIMATE FU Multilateral,Multilateral,"17,386,977",0,"17,386,977"
UKEF Bilateral,Bilateral,"241,424,114",0,0
